Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
95.0,731092,A,0.0,Armco Steel,17566,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
96.0,731092,A,0.0,Carpenter Technology,20618,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
97.0,731092,A,0.0,"Colt Industries, Crucible Materials Group",11332,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
98.0,731092,A,0.0,"Cyclops Corp., Universal-Cyclops Specialty Steel Division",20589,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
99.0,731092,A,0.0,Eastern Stainless Steel ,18251,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
100.0,731092,A,0.0,Jessop Steel,45305,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
101.0,731092,A,0.0,Jones & Laughlin Steel,21530,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
102.0,731092,A,0.0,Republic Steel,14189,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
103.0,731092,A,0.0,Washington Steel,45727,WEST GERMANY,STRIP AND SHEET,0.0,830615,ITCF,na,na,na,na,0.0,0.0,1983-06-15,5.0
104.0,731095,A,1.0,COLT INDUSTRIES,11332,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
105.0,731095,A,1.0,REPUBLIC STEEL,14189,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
106.0,731095,A,1.0,ARMCO,17566,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
107.0,731095,A,1.0,EASTERN STAINLESS STEEL,18251,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
108.0,731095,A,1.0,CYCLOPS CORP,20589,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
109.0,731095,A,1.0,CARPENTER TECHNLOGY CORP,20618,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
110.0,731095,A,1.0,ALLEGHENY LUDLUM,18817,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
111.0,731095,A,1.0,JONES & LAUGHLIN STEEL,21530,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
112.0,731095,A,1.0,JESSUP STEEL,45305,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
113.0,731095,A,1.0,WASHINGTON STEEL,45727,FRANCE,Stainless Steel Sheet and Strip,0.0,820513,PET,na,na,na,na,0.0,0.0,1982-05-13,1.0
114.0,731095,A,1.0,COLT INDUSTRIES,11332,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
115.0,731095,A,1.0,REPUBLIC STEEL,14189,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
116.0,731095,A,1.0,ARMCO,17566,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
117.0,731095,A,1.0,EASTERN STAINLESS STEEL,18251,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
118.0,731095,A,1.0,CYCLOPS CORP,20589,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
119.0,731095,A,1.0,CARPENTER TECHNLOGY CORP,20618,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
120.0,731095,A,1.0,ALLEGHENY LUDLUM,18817,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
121.0,731095,A,1.0,JONES & LAUGHLIN STEEL,21530,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
122.0,731095,A,1.0,JESSUP STEEL,45305,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
123.0,731095,A,1.0,WASHINGTON STEEL,45727,FRANCE,Stainless Steel Sheet and Strip,0.0,820624,ITCP,na,na,na,na,0.0,0.0,1982-06-24,2.0
124.0,731095,A,1.0,COLT INDUSTRIES,11332,FRANCE,Stainless Steel Sheet and Strip,0.0,821209,DOCP,na,na,na,na,0.0,0.0,1982-12-09,3.0
