Sort,CASE,DECISION,TARJCASE,COMPANY,PERMNO,COUNTRY,PRODUCT,CERTAIN,DATES,EVENT,NP,ACQ,JV,PE,Semicon,steel92,event_date,event_order
848.0,731571,A (partly),1.0,BLACK & DECKER,20220,JAPAN,Professional Electric Sanding/Grinding Tools,1.0,920707,TARJ,1,0,0,0,0.0,0.0,1992-07-07,
867.0,731575,N,1.0,BETHLEHEM STEEL CORP.,10786,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,921121,TARJ,1,0,0,0,0.0,1.0,1992-11-21,
868.0,731575,N,1.0,ARMCO STEEL CO.,17566,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,921121,TARJ,1,0,0,0,0.0,1.0,1992-11-21,
869.0,731575,N,1.0,LUKENS STEEL CO.,22373,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,921121,TARJ,1,0,0,0,0.0,1.0,1992-11-21,
870.0,731575,N,1.0,LACLEDE STEEL,48363,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,921121,TARJ,1,0,0,0,0.0,1.0,1992-11-21,
871.0,731575,N,1.0,GENEVA STEEL,76116,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,921121,TARJ,1,0,0,0,0.0,1.0,1992-11-21,
872.0,731575,N,1.0,USX STEEL GROUP,76644,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,921121,TARJ,1,0,0,0,0.0,1.0,1992-11-21,
873.0,731575,N,1.0,LTV CORP,79335,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,921121,TARJ,1,0,0,0,0.0,1.0,1992-11-21,
881.0,731575,N,1.0,BETHLEHEM STEEL CORP.,10786,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,930311,TARJ,0,0,1,0,0.0,1.0,1993-03-11,
882.0,731575,N,1.0,ARMCO STEEL CO.,17566,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,930311,TARJ,0,0,1,0,0.0,1.0,1993-03-11,
883.0,731575,N,1.0,LUKENS STEEL CO.,22373,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,930311,TARJ,0,0,1,0,0.0,1.0,1993-03-11,
884.0,731575,N,1.0,LACLEDE STEEL,48363,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,930311,TARJ,0,0,1,0,0.0,1.0,1993-03-11,
885.0,731575,N,1.0,GENEVA STEEL,76116,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,930311,TARJ,0,0,1,0,0.0,1.0,1993-03-11,
886.0,731575,N,1.0,USX STEEL GROUP,76644,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,930311,TARJ,0,0,1,0,0.0,1.0,1993-03-11,
887.0,731575,N,1.0,LTV CORP,79335,CANADA,Hot-Rolled Carbon Steel Sheet ,1.0,930311,TARJ,0,0,1,0,0.0,1.0,1993-03-11,
902.0,731575,A,1.0,BETHLEHEM STEEL CORP.,10786,CANADA,Cut-To-Length Carbon Steel Plate,1.0,930921,TARJ,1,0,0,0,0.0,1.0,1993-09-21,
903.0,731575,A,1.0,ARMCO STEEL CO.,17566,CANADA,Cut-To-Length Carbon Steel Plate,1.0,930921,TARJ,1,0,0,0,0.0,1.0,1993-09-21,
904.0,731575,A,1.0,LUKENS STEEL CO.,22373,CANADA,Cut-To-Length Carbon Steel Plate,1.0,930921,TARJ,1,0,0,0,0.0,1.0,1993-09-21,
905.0,731575,A,1.0,LACLEDE STEEL,48363,CANADA,Cut-To-Length Carbon Steel Plate,1.0,930921,TARJ,1,0,0,0,0.0,1.0,1993-09-21,
906.0,731575,A,1.0,GENEVA STEEL,76116,CANADA,Cut-To-Length Carbon Steel Plate,1.0,930921,TARJ,1,0,0,0,0.0,1.0,1993-09-21,
907.0,731575,A,1.0,USX STEEL GROUP,76644,CANADA,Cut-To-Length Carbon Steel Plate,1.0,930921,TARJ,1,0,0,0,0.0,1.0,1993-09-21,
908.0,731575,A,1.0,LTV CORP,79335,CANADA,Cut-To-Length Carbon Steel Plate,1.0,930921,TARJ,1,0,0,0,0.0,1.0,1993-09-21,
909.0,731575,N,1.0,BETHLEHEM STEEL CORP.,10786,UK,Cut-To-Length Carbon Steel Plate,1.0,941013,TARJ,0,1,0,0,0.0,1.0,1994-10-13,
910.0,731575,N,1.0,ARMCO STEEL CO.,17566,UK,Cut-To-Length Carbon Steel Plate,1.0,941013,TARJ,0,1,0,0,0.0,1.0,1994-10-13,
911.0,731575,N,1.0,LUKENS STEEL CO.,22373,UK,Cut-To-Length Carbon Steel Plate,1.0,941013,TARJ,0,1,0,0,0.0,1.0,1994-10-13,
912.0,731575,N,1.0,LACLEDE STEEL,48363,UK,Cut-To-Length Carbon Steel Plate,1.0,941013,TARJ,0,1,0,0,0.0,1.0,1994-10-13,
913.0,731575,N,1.0,GENEVA STEEL,76116,UK,Cut-To-Length Carbon Steel Plate,1.0,941013,TARJ,0,1,0,0,0.0,1.0,1994-10-13,
914.0,731575,N,1.0,USX STEEL GROUP,76644,UK,Cut-To-Length Carbon Steel Plate,1.0,941013,TARJ,0,1,0,0,0.0,1.0,1994-10-13,
915.0,731575,N,1.0,LTV CORP,79335,UK,Cut-To-Length Carbon Steel Plate,1.0,941013,TARJ,0,1,0,0,0.0,1.0,1994-10-13,
916.0,731575,A,1.0,BETHLEHEM STEEL CORP.,10786,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,941112,TARJ,0,0,1,0,0.0,1.0,1994-11-12,
917.0,731575,A,1.0,ARMCO STEEL CO.,17566,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,941112,TARJ,0,0,1,0,0.0,1.0,1994-11-12,
918.0,731575,A,1.0,LUKENS STEEL CO.,22373,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,941112,TARJ,0,0,1,0,0.0,1.0,1994-11-12,
919.0,731575,A,1.0,LACLEDE STEEL,48363,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,941112,TARJ,0,0,1,0,0.0,1.0,1994-11-12,
920.0,731575,A,1.0,GENEVA STEEL,76116,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,941112,TARJ,0,0,1,0,0.0,1.0,1994-11-12,
921.0,731575,A,1.0,USX STEEL GROUP,76644,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,941112,TARJ,0,0,1,0,0.0,1.0,1994-11-12,
922.0,731575,A,1.0,LTV CORP,79335,AUSTRALIA,Corrosion-resistant carbon steel sheet,1.0,941112,TARJ,0,0,1,0,0.0,1.0,1994-11-12,
923.0,731575,N,1.0,BETHLEHEM STEEL CORP.,10786,JAPAN/UK,Cold-Rolled and Hot-Rolled Carbon Steel Sheet ,1.0,941219,TARJ,0,0,1,0,0.0,1.0,1994-12-19,
924.0,731575,N,1.0,ARMCO STEEL CO.,17566,JAPAN/UK,Cold-Rolled and Hot-Rolled Carbon Steel Sheet ,1.0,941219,TARJ,0,0,1,0,0.0,1.0,1994-12-19,
925.0,731575,N,1.0,LUKENS STEEL CO.,22373,JAPAN/UK,Cold-Rolled and Hot-Rolled Carbon Steel Sheet ,1.0,941219,TARJ,0,0,1,0,0.0,1.0,1994-12-19,
926.0,731575,N,1.0,LACLEDE STEEL,48363,JAPAN/UK,Cold-Rolled and Hot-Rolled Carbon Steel Sheet ,1.0,941219,TARJ,0,0,1,0,0.0,1.0,1994-12-19,
927.0,731575,N,1.0,GENEVA STEEL,76116,JAPAN/UK,Cold-Rolled and Hot-Rolled Carbon Steel Sheet ,1.0,941219,TARJ,0,0,1,0,0.0,1.0,1994-12-19,
